timestamp,version,fixture,lines,median_ms
2026-03-17T22:32:43Z,0.7.0,small,21,98.8
2026-03-17T22:32:43Z,0.7.0,medium,164,466.8
2026-03-17T22:32:43Z,0.7.0,large,439,915.3
2026-03-17T22:32:43Z,0.7.0,stress,561,1084.2
2026-03-17T22:37:47Z,0.8.0,small,21,100.3
2026-03-17T22:37:47Z,0.8.0,medium,164,474.8
2026-03-17T22:37:47Z,0.8.0,large,439,989.7
2026-03-17T22:37:47Z,0.8.0,stress,561,1064.1
2026-03-17T22:39:13Z,0.9.0,small,21,99.8
2026-03-17T22:39:13Z,0.9.0,medium,164,472.3
2026-03-17T22:39:13Z,0.9.0,large,439,925.7
2026-03-17T22:39:13Z,0.9.0,stress,561,1058.8
